nb_processus,temps_maximum,taille

16,0.064389,100
16,0.072981,100
16,0.368360,1000000
16,3.095207,8000000
16,8.103148,20000000
16,16.389782,40000000
16,3.932868,10000000
16,20.496029,50000000
16,20.751340,50000000
4,0.000085,1000
4,0.549783,80000000
4,0.153440,16000000
4,0.581390,80000000
4,0.648423,80000000
16,30.568485,73000000
16,31.185641,74000000
16,31.170220,74000000
2,1.942429,74000000
4,3.177909,74000000
8,23.339316,74000000
2,1.939413,74000000
4,4.071269,74000000
8,22.797801,74000000
16,31.400919,74000000
16,50.470094,74000000
8,40.696917,74000000
4,21.543704,74000000
2,29.649444,74000000
2,29.598927,74000000
2,29.485088,74000000
2,29.542117,74000000
2,29.534160,74000000
2,29.523493,74000000
2,29.548963,74000000
2,29.534431,74000000
2,29.481102,74000000
2,29.505228,74000000
4,23.065934,74000000
4,25.307907,74000000
4,26.585465,74000000
4,27.678455,74000000
4,28.273391,74000000
4,27.276730,74000000
4,27.879367,74000000
4,27.993412,74000000
4,28.763725,74000000
4,28.937646,74000000
8,45.393018,74000000
8,44.768810,74000000
8,44.958267,74000000
8,44.477787,74000000
8,44.551273,74000000
8,44.481307,74000000
8,44.661512,74000000
8,44.602897,74000000
8,44.813597,74000000
8,45.170000,74000000
16,53.866108,74000000
16,53.408299,74000000
16,53.594467,74000000
16,53.482361,74000000
16,53.497964,74000000
16,53.630874,74000000
16,53.544831,74000000
16,53.559039,74000000
16,53.630551,74000000
16,53.734779,74000000
